date,revenue,discount_rate,coupon_rate
12/10/2022,"18,738,795",21.00%,1.61%
13/10/2022,"18,952,930",22.42%,2.08%
14/10/2022,"16,077,762",21.21%,1.58%
15/10/2022,"15,296,283",21.84%,0.38%
16/10/2022,"18,951,567",22.91%,0.84%
17/10/2022,"15,991,740",22.89%,0.37%
18/10/2022,"16,328,423",22.22%,0.35%
19/10/2022,"16,931,133",22.23%,0.52%
20/10/2022,"16,367,353",23.36%,0.49%
21/10/2022,"14,599,243",23.17%,0.44%
22/10/2022,"14,628,069",23.21%,0.39%
23/10/2022,"22,545,811",23.71%,3.13%
24/10/2022,"20,127,025",22.77%,3.06%
25/10/2022,"22,381,639",23.57%,3.46%
26/10/2022,"15,067,029",21.56%,0.66%
27/10/2022,"13,714,667",20.81%,0.61%
28/10/2022,"12,100,780",21.44%,0.55%
29/10/2022,"11,849,363",19.81%,0.36%
30/10/2022,"14,561,144",20.41%,0.34%
31/10/2022,"12,689,026",19.49%,0.35%
1/11/2022,"16,703,680",23.85%,1.50%
2/11/2022,"15,827,022",20.76%,0.94%
3/11/2022,"16,154,319",21.85%,0.92%
4/11/2022,"14,707,212",20.17%,0.88%
5/11/2022,"14,877,530",17.85%,0.41%
6/11/2022,"18,835,528",16.40%,0.31%
7/11/2022,"16,094,516",17.11%,0.30%
8/11/2022,"15,589,508",16.64%,0.29%
9/11/2022,"16,608,320",18.72%,0.74%
10/11/2022,"20,393,266",16.69%,9.15%
11/11/2022,"23,046,053",18.83%,9.89%
12/11/2022,"12,381,161",19.89%,0.60%
13/11/2022,"16,422,782",17.62%,0.27%
14/11/2022,"14,691,326",14.98%,0.27%
15/11/2022,"14,671,955",15.93%,0.25%
16/11/2022,"15,136,541",17.24%,0.42%
17/11/2022,"20,843,349",28.38%,0.54%
18/11/2022,"23,903,931",28.17%,0.43%
19/11/2022,"25,046,318",28.17%,0.39%
20/11/2022,"32,605,348",28.60%,0.41%
21/11/2022,"25,330,460",27.23%,0.42%
22/11/2022,"26,303,687",28.51%,0.41%
23/11/2022,"26,406,156",28.69%,0.53%
24/11/2022,"38,219,136",33.84%,0.53%
25/11/2022,"66,115,724",33.12%,0.44%
26/11/2022,"26,934,947",30.41%,0.38%
27/11/2022,"31,890,868",29.75%,0.35%
28/11/2022,"32,100,918",25.27%,8.93%
29/11/2022,"14,314,613",19.54%,0.26%
30/11/2022,"15,026,662",17.10%,0.32%
