No.,Residence,ALGEBRA,TRIGO,ADVALGEBRA,ANAGEO,DIFCAL,INTCAL,DIFEQU,STATS,ADVENGMAT,NUMERICAL,MATAVERAGE,PHY01A,PHY02A,ENG01,ENG02A,ENG03A,ENGECO,VECTOR,ELXDEVICE,ELXCIRCUITS,SIGNALS,PRINCO,LCST,DIGICOM,TRANS,MICRO,BROADCAST,CONTROLSYS,ECEAVERAGE,CIRC1,ELEMAG,CIRC2,ELEAVERAGE,VA,VR,FR,QR,SCHEME,On-Time,WithHonors,Passer
305,lucena,2.5,2.5,2.5,2.5,3,3,2.75,3,1.5,1.75,2.5,3,3,2.75,2.5,2,2.75,2.25,1.75,3,2.5,2.75,2.25,1.25,2.5,3,3,3,2.5,2.75,2.75,1.75,2.416666667,A,A,A,A,A,YES,NO,NO
306,tayabas,1.75,2,3,2,2.75,2.25,2,3,2,1.5,2.23,2.75,2.75,2.25,2.25,1.75,2.25,1.75,2.25,2.5,2.25,2.5,2,1.5,2.5,2.25,3,2.75,2.35,2.25,2.25,1.5,2,A,A,AA,A,C,YES,NO,YES
307,atimonan,2,1.75,2,2.25,3,1.5,1.75,2,1.5,1.25,1.9,2.5,2.5,2.25,1.5,1.75,2.5,1,1.25,2.25,1.5,3,1.75,1.75,2.5,2.25,3,2.25,2.15,1.75,1.5,1.75,1.666666667,AA,AA,A,AA,A,YES,NO,YES
308,candelaria,2,1.75,2,2.25,3,2.75,2.75,2.5,2.75,1.75,2.35,3,2.5,3,3,2.5,3,2.5,2.5,3,2.5,2.25,2,2.25,2.75,2.5,2,2.25,2.4,2.5,2.25,2.5,2.416666667,AA,AA,A,A,B,YES,NO,YES
309,lucena,2.75,2,3,3,2.5,1.75,2.5,3,1.75,1.5,2.38,3,2.5,2.75,2,1.25,2.5,2,1.5,2.25,1.75,2.25,1.5,1.25,2,2.75,2.5,2.25,2,2.25,2,1.75,2,A,A,A,A,A,YES,NO,NO
310,tayabas,2,2.25,2.25,2.5,2.5,2,2.75,3,1.75,1.25,2.23,3,2.75,2.5,2,2,2.5,2,1.25,2.25,1.75,2.25,1.25,1.5,2,2,2.5,3,1.975,2.25,1.25,1.5,1.666666667,AA,AA,A,AA,A,YES,NO,YES
311,lucban,1.5,1.75,1.75,1.5,1.75,1.5,1.25,2,1.5,1.25,1.58,2.5,2.25,2,1.25,2,1.75,1.75,1,2.5,1.25,1.75,1.25,1.25,1.75,2.5,2,2,1.725,1.5,1,1.25,1.25,AA,AA,AA,AA,A,YES,YES,YES
312,sta. cruz,1.75,1.75,2,1.75,2.25,2,1.75,2,1.75,1.5,1.85,2.75,2.25,2,1.5,2,2.25,1.75,1.75,2.75,2,2.75,2,2,2,2.25,2.75,2.25,2.25,1.5,1.75,1.5,1.583333333,A,AA,A,A,B,YES,NO,YES
313,candelaria,1.5,1.75,2.25,1.75,2.5,2,2.5,2,2,1.5,1.98,2.75,2.75,3,2.25,1.75,2,2.75,2.25,3,2.25,2.75,1.5,1.75,2.25,2.5,3,2.75,2.4,2.75,2,1.5,2.083333333,A,A,AA,A,A,YES,NO,YES
314,luisiana,3,3,3,3,3,2.5,2.25,3,2,1.5,2.63,3,3,3,2.25,2.25,3,3,2.5,3,2.75,3,2.75,2.25,2.75,3,2.75,2,2.675,3,2.5,2.25,2.583333333,A,AA,A,A,A,YES,NO,NO
315,lucban,3,2.75,2.5,3,3,2.5,3,3,2.25,1.5,2.65,3,3,2.5,2.5,2.5,3,2.25,2.5,3,2.75,3,3,2,2.5,2.5,3,2.75,2.7,3,3,2,2.666666667,A,A,A,AA,B,YES,NO,NO
316,pagbilao,1.5,1.5,1.5,1.5,1.5,1.75,1.25,2.25,1.5,1,1.53,2.5,1.75,1.75,1.25,2.5,1.25,1.75,1,2,1,2,1.25,1.5,1.75,2.25,2,1.75,1.65,1.25,1,1.5,1.25,AA,AA,AA,AA,A,YES,YES,YES
317,sariaya,2,2,2.75,2.25,2.5,2,1.5,3,2,1.25,2.13,3,2.5,2.25,2,2,2.25,1.5,1.5,2.25,1.75,2.5,2,1.5,2,1.75,3,2.25,2.05,2.25,2,1.5,1.916666667,AA,AA,AA,AA,A,YES,NO,YES
318,tayabas,2,3,3,2.25,3,3,2.25,3,2.25,1.5,2.53,3,3,3,3,2.25,2.75,2,3,3,3,3,2.5,2.75,2.5,2.75,3,3,2.85,2.5,2.75,2.25,2.5,A,A,A,A,A,YES,NO,NO
319,pangil,1.5,1.75,2.25,2,1.75,1.75,1.25,2.75,1.5,1.25,1.78,3,2.5,2.25,1.5,1.75,2.25,2,1.25,2.5,1.5,1.75,1.75,1.75,2,2.75,2.75,2.5,2.05,2,1.5,1.5,1.666666667,A,AA,AA,A,B,YES,NO,YES
320,mauban,3,3,1.75,3,3,2.5,3,3,2.25,2.25,2.68,3,3,3,3,2,3,2.25,3,3,3,3,3,2.75,3,2.5,2.75,3,2.9,3,3,2.75,2.916666667,AA,A,A,A,C,YES,NO,NO
321,tiaong,2.25,3,3,3,3,3,2.75,3,2,2,2.7,3,2.5,2.5,2.25,2.5,2.5,2,2,2.5,2.75,3,2.75,2.25,2.5,2.75,3,3,2.65,2.5,2,2,2.166666667,A,AA,A,A,A,YES,NO,YES
322,tiaong,2,2.25,2.25,1.75,2,2,1.5,2,2,2,1.98,2.25,1.75,2,2,2.25,2,2,1.5,2.25,2,2,2,2.25,2,2.5,3,2.25,2.175,2,1.25,1.5,1.583333333,A,AA,A,AA,A,YES,NO,YES
323,pagbilao,2.5,3,3,3,3,2,2,2,2.25,2,2.48,3,2,3,3,2.5,3,1.75,2.75,2.75,3,3,3,3,2.75,2.5,3,3,2.875,2.5,3,2.25,2.583333333,AA,A,A,AA,B,YES,NO,NO
324,lucena,2.25,2.25,2.25,3,2.75,2.5,2.75,3,1.75,1.5,2.4,3,2.75,3,2.25,2.25,2.75,2.25,1.75,3,2.5,2.75,3,1.75,2.25,2.5,2.75,2.75,2.5,2.75,2.5,1.5,2.25,A,AA,AA,A,C,YES,NO,YES
325,majayjay,2.75,2.75,2.5,2.25,3,3,3,2,2.75,2.25,2.63,3,3,3,2.25,2,3,1.75,2.25,3,3,3,3,2.25,2.75,2.5,3,2.25,2.7,2.75,2.5,2.75,2.666666667,A,A,A,A,A,YES,NO,NO
326,general nakar,3,3,3,3,3,2.75,3,3,1.75,1.75,2.73,3,3,2.25,3,2.5,3,2.5,2.25,3,2.25,3,3,2.25,2.75,3,3,3,2.75,3,3,2.25,2.75,AA,A,A,AA,A,YES,NO,NO
327,pitogo,1.25,2,1.5,1.5,2.5,2.5,1.75,2.5,1.5,1.25,1.83,3,2.5,1.25,1.75,2.25,2,1.75,1.25,1.75,1.25,1.75,1.25,1.5,1.5,2.25,2,2,1.65,2.25,1.25,1.25,1.583333333,A,AA,A,AA,A,YES,NO,YES
328,lucena,2.75,3,2.5,2.75,3,3,3,3,2.5,2.25,2.78,3,2.25,3,3,3,3,2.75,3,3,3,3,3,2.5,3,3,3,3,2.95,2.25,3,2.5,2.583333333,A,A,A,AA,B,YES,NO,NO
329,sariaya,2.5,2.5,3,2.25,3,2.75,2.5,3,2.25,1.5,2.53,2.75,3,3,2.5,2,2.25,1.75,2,3,2,3,2,1.5,2.5,2.5,3,2.5,2.4,2.5,2,1.5,2,A,AA,AA,A,A,YES,NO,YES
330,atimonan,3,3,2.75,3,3,3,2.25,3,1.75,1.75,2.65,3,3,2.75,2.25,2,2.25,2,2.25,3,2,3,1.75,1.75,2.5,3,2.75,2.5,2.45,2.5,2,2,2.166666667,A,A,A,A,A,YES,NO,NO
331,sampaloc,2.75,2.25,2.5,3,3,2.75,2.25,3,2,1.5,2.5,3,3,2.25,2.5,2,2.25,1.75,1.5,3,1.75,2.5,2,1.5,2.5,2.25,2.75,2.5,2.225,3,2.25,1.75,2.333333333,A,AA,AA,A,A,YES,NO,YES
332,sariaya,3,2,2.25,3,3,3,3,2.75,2.25,2,2.63,3,3,3,2.5,2.25,3,2,2.75,3,3,3,3,2.75,3,3,3,3,2.95,3,3,2.5,2.833333333,A,A,A,A,B,YES,NO,NO
333,lumban,2.25,3,3,2.75,3,2.75,2.75,3,2.25,2,2.68,3,3,3,3,2,3,2.75,3,3,3,3,2.75,2.25,3,2.75,3,3,2.875,2.75,3,3,2.916666667,A,A,AA,A,A,NO,NO,NO
334,lucena,1.5,1.5,1.25,1.25,1.5,1.25,1.5,1.5,1.25,1.25,1.38,1.75,1.75,1,1.5,1.5,1.25,1.25,1,1.75,1.25,1.5,1.25,1.25,1.5,1.75,2,1.5,1.475,1.25,1,1.5,1.25,AA,AA,AA,AA,A,YES,YES,YES
335,lucban,3,3,3,3,3,3,3,3,2,2.5,2.85,3,3,3,3,2,3,2.25,2.25,3,2.75,3,3,3,3,2.75,3,3,2.875,3,3,1.75,2.583333333,A,A,A,A,A,NO,NO,NO
336,tayabas,2,2.5,2.5,2.5,2.75,2.5,1.75,2.75,1.5,1.75,2.25,3,2.75,2.5,1.75,2.25,2.25,2,2,2.5,2.25,3,2,1.75,2.5,3,2.75,2.5,2.425,2,1.75,1.75,1.833333333,A,AA,A,A,A,YES,NO,YES
337,lucena,3,2.25,3,2,3,1.5,1.5,2.5,1.75,1.75,2.23,2.75,2.5,3,1.75,2,2,2.25,1.75,2,2.25,2.5,2.25,2.25,2.75,2.25,2.25,2,2.225,1.75,1.25,1.75,1.583333333,AA,AA,AA,AA,A,NO,NO,NO
338,mauban,2.5,2.25,2.5,2,3,1.25,2,2.75,1.75,1.75,2.18,2.75,2.5,2.25,1.75,2,2,1.75,1.75,2,2.25,2.5,2.25,2.25,2.5,2.25,2.25,2,2.2,1.75,1.25,1.75,1.583333333,A,AA,A,A,B,YES,NO,YES
339,luisiana,2.25,3,2.5,2.75,3,3,2.75,3,2,1.5,2.58,2.75,2.25,1.75,2.25,1.75,2.25,2,2,2.75,2.5,3,3,2.25,2.5,2.5,3,3,2.65,2.25,2.25,1.5,2,A,AA,A,A,A,YES,NO,YES
340,lucena,2.25,2.25,2.25,2.25,2.75,2.25,2.25,3,1.75,1.5,2.25,2.75,2.75,2.25,2,2,2,2,1.75,2,1.75,2.25,1.5,1.75,2,2.5,2.5,2.25,2.025,2.25,1.5,1.75,1.833333333,A,AA,A,AA,A,YES,NO,YES
341,pagbilao,2.75,2.5,2.5,3,2.75,2,2,2.5,1.5,1.5,2.3,2.5,2.5,2.25,1.75,2.25,2.75,1.75,1.5,2.25,2,2.5,1.5,1.75,2.25,2.75,2.5,2.25,2.125,2.25,2.25,1.5,2,A,AA,A,A,B,YES,NO,YES
342,tiaong,3,3,3,3,3,3,2.25,3,2,1.75,2.7,3,3,2.75,2.25,2.25,2.75,2.25,2.25,3,2,2.75,2.25,1.75,2.5,3,3,2.5,2.5,2.75,2,2,2.25,AA,AA,A,A,A,NO,NO,NO
343,infanta,2.5,2.55,3,3,3,2.75,3,3,2,1.75,2.66,3,2.75,3,2,2,2.75,2.25,2.5,3,3,3,3,2.5,3,2.75,2.75,3,2.85,2.25,3,2,2.416666667,AA,A,A,A,C,NO,NO,NO
344,tayabas,3,3,3,3,2,3,2,2.75,2.25,3,2.7,2.75,3,3,2.25,3,2.25,2.75,3,3,3,3,3,2.5,3,3,3,2.5,2.9,2.75,3,2.5,2.75,A,A,A,A,A,NO,NO,NO
345,tayabas,1.5,1.75,2.25,1.75,2.5,2,2.5,2,2,1.5,1.98,2.75,2.75,3,2.25,1.75,2,2.75,2.25,3,2.25,2.75,1.5,1.75,2.25,2.5,3,2.75,2.4,2.75,2,1.5,2.083333333,A,AA,A,A,A,YES,NO,YES
346,tayabas,2,2,2.75,2.25,2.5,2,1.5,3,2,1.25,2.13,3,2.5,2.25,2,2,2.25,1.5,1.5,2.25,1.75,2.5,2,1.5,2,1.75,3,2.25,2.05,2.25,2,1.5,1.916666667,A,AA,AA,A,A,YES,NO,YES
347,tayabas,1.5,1.75,1.75,1.5,1.75,1.5,1.25,2,1.5,1.25,1.58,2.5,2.25,2,1.25,2,1.75,1.75,1,2.5,1.25,1.75,1.25,1.25,1.75,2.5,2,2,1.725,1.5,1,1.25,1.25,AA,AA,AA,AA,B,YES,YES,YES
348,lucban,2,2.25,2.25,1.75,2,2,1.5,2,2,2,1.98,2.25,1.75,2,2,2.25,2,2,1.5,2.25,2,2,2,2.25,2,2.5,3,2.25,2.175,2,1.25,1.5,1.583333333,A,AA,A,A,A,YES,NO,YES
349,candelaria,3,2.25,2.75,3,3,3,3,3,2,1.5,2.65,3,3,3,3,3,3,2.5,2.25,3,3,3,2.5,2,3,2.75,3,3,2.75,3,3,2.25,2.75,A,A,A,A,A,NO,NO,NO
350,candelaria,3,3,3,3,3,3,2.25,3,2,1.75,2.7,3,3,2.5,2.25,2.25,2.75,2.25,2,3,2,2.75,2.25,1.75,2.5,3,3,2.5,2.475,2.75,2,2,2.25,A,A,A,A,C,YES,NO,NO
351,tiaong,2.25,2.25,3,3,3,2.75,2.75,3,2,1.75,2.58,3,2.75,3,2,2,2.75,2,2.5,3,3,3,3,2.5,3,2.75,2.75,3,2.85,2.25,3,2,2.416666667,A,AA,A,A,A,YES,NO,NO
352,pila,2.5,2.25,2.5,2,3,1.25,2,2.75,1.75,1.75,2.18,2.75,2.5,2.25,1.75,2,2,1.75,1.75,2,2.25,2.5,2.25,2.25,2.5,2.25,2.25,2,2.2,1.75,1.25,1.75,1.583333333,A,AA,A,A,A,YES,NO,YES
353,sariaya,3,3,2.75,3,3,3,2.25,3,1.75,1.75,2.65,3,3,2.75,2.25,2,2.25,2,2.25,3,2,3,1.75,1.75,2.5,3,2.75,2.5,2.45,2.5,2,2,2.166666667,A,A,A,A,A,YES,NO,NO
354,candelaria,2.75,2.25,2.5,3,3,2.75,2.25,3,2,1.5,2.5,3,3,2.25,2.5,2,2.25,1.75,1.5,3,1.75,2.5,2,1.5,2.5,2.25,2.75,2.5,2.225,3,2.25,1.75,2.333333333,A,AA,A,A,C,YES,NO,YES
355,candelaria,2.25,2.25,1.75,1.25,2.25,2.25,2,2.25,1.5,1.5,1.93,2.5,2.5,2,1.5,2.25,1.75,1.75,1,2.5,1.75,1.5,2,2,1.75,2.25,3,2.25,2,2,1.25,1.5,1.583333333,AA,AA,AA,AA,B,YES,NO,YES
356,candelaria,3,3,1.75,3,3,2.5,3,3,2.25,2.25,2.68,3,3,3,3,2,3,2.25,3,3,3,3,3,2.75,3,2.5,2.75,3,2.9,3,3,2.75,2.916666667,AA,A,A,A,B,NO,NO,NO
357,lucena,2.5,3,3,3,3,2,2,2,2.25,2,2.48,3,2,3,3,2.5,3,1.75,2.75,2.75,3,3,3,3,2.75,2.5,3,3,2.875,2.5,3,2.25,2.583333333,A,A,AA,A,A,YES,NO,NO
358,lopez,2.25,2,2.25,2,2.5,2.25,2.5,2.25,2,2,2.2,2.75,3,1.75,2,3,2.5,2.5,2.5,2.5,1.75,2.5,3,2,2,2.5,2.75,2.5,2.4,2.25,3,2.25,2.5,A,AA,A,A,C,YES,NO,YES
359,tayabas,2.75,3,2.5,2.75,3,3,3,3,2.5,2.25,2.78,3,2.25,3,3,3,3,2.75,3,3,3,3,3,2.5,3,3,3,3,2.95,2.25,3,2.5,2.583333333,A,A,A,A,A,NO,NO,NO
360,agdangan,1.25,1.5,1.25,1.5,1.25,1.25,1.75,1.5,1.5,2,1.48,1.5,1.75,1,1,1.25,1.75,1.5,1,2,1.5,1.25,1.5,1,1.5,1.5,1.75,2,1.5,1.5,1.75,1.5,1.583333333,AA,AA,AA,AA,B,YES,YES,YES
361,sariaya,2.5,3,2.5,2.75,3,2.5,3,3,1.75,1.5,2.55,3,2.5,3,2.5,2.75,3,3,2.5,2.75,3,3,3,2.25,1.75,3,3,3,2.725,3,3,1.75,2.583333333,A,A,A,A,A,YES,NO,NO
362,lucena,2.5,2.25,2.25,2.25,2.75,2.25,2.25,3,1.75,1.5,2.28,2.75,2.75,2.25,2,2,2,2,1.75,2,1.75,2.25,1.5,1.75,2,2.5,2.5,2.25,2.025,2.25,1.5,1.75,1.833333333,A,AA,A,A,A,YES,NO,YES
363,lumban,2.25,3,2.25,3,3,3,2.5,3,2,2.25,2.63,2.75,2.5,2.25,3,3,3,3,3,3,3,3,1.75,2.25,3,3,3,3,2.8,2.5,3,3,2.833333333,A,A,A,A,A,NO,NO,NO
364,tayabas,3,2.5,3,3,3,2.5,3,2.75,2,1.75,2.65,3,2.75,2,2,2.5,2.5,2.5,2.25,3,2.5,2,2.5,2.25,2.25,3,3,2.75,2.55,3,3,3,3,AA,A,A,A,C,YES,NO,NO
365,lucena,2.25,3,3,2.5,3,2.25,2,3,2.25,2.25,2.55,3,3,2.5,2.75,3,3,3,3,3,3,3,3,2.5,2.5,3,3,3,2.9,3,3,2.5,2.833333333,A,A,A,A,A,YES,NO,NO
366,tayabas,2.25,3,2.5,2,3,3,2,3,2.5,1.75,2.5,2.75,3,3,2.25,1.75,2,2,2,2.5,2.5,3,3,2.5,3,2,3,2.75,2.625,2.75,3,2.25,2.666666667,A,AA,A,A,B,YES,NO,YES
367,gumaca,2.25,3,3,3,2.75,1.75,2.5,2.5,1.75,2.75,2.53,2.75,2.75,2.5,2.25,3,2.25,3,2.25,2.75,3,2.25,2.75,2.25,2.25,3,3,3,2.65,3,2.25,2.75,2.666666667,A,A,A,A,A,NO,NO,NO
368,sariaya,1.5,2,2,1.5,1.75,1.5,1.5,2.25,1.75,2,1.78,2.5,2.25,2.75,1.5,2.25,2,2.25,1.25,2.25,2.25,1.5,2,1.75,1.25,2.5,3,2.25,2,2,2.25,1.75,2,A,AA,A,AA,A,YES,NO,YES
369,tayabas,1.5,1.5,1.25,1.25,1.75,1.5,1.75,1.75,1.5,2,1.58,1.75,1.75,1.25,1.5,2,1.75,2.25,1.5,1.5,1.5,1.5,1.75,1.25,1.75,2.25,2.25,2,1.725,1.5,1,1.5,1.333333333,A,AA,A,AA,A,YES,YES,YES
370,candelaria,1.75,2.25,1.25,2,2,1.75,1.75,2,1.5,1.5,1.78,2.75,2.25,1.5,1.25,2.25,1.5,2,1.25,2,1.5,1.5,2,1.75,1.75,1.75,2.25,2.25,1.8,1.5,2.25,1.75,1.833333333,AA,AA,A,A,A,YES,NO,YES
371,gumaca,2.5,3,2.75,3,3,2.25,2,2,2.25,2,2.48,3,2,3,3,2.5,3,1.75,2.75,2.75,3,3,3,3,2.75,2.5,3,3,2.875,2.5,3,2.25,2.583333333,A,A,A,A,B,YES,NO,NO
372,lucena,1.75,1.75,2,1.75,2.25,2,1.75,2,1.75,1.5,1.85,2.75,2.25,2,1.5,2,2.25,1.75,1.75,2.75,2,2.75,2,2,2,2.25,2.75,2.25,2.25,1.5,1.75,1.5,1.583333333,A,AA,AA,AA,A,YES,NO,YES
373,pagbilao,3,3,2.5,3,3,2.75,3,3,2,1.5,2.68,2.75,3,3,3,2.5,3,2.25,2.75,2.75,2.75,3,3,2.5,2.75,3,3,3,2.85,3,3,1.75,2.583333333,A,A,A,A,B,YES,NO,NO
374,guinayangan,1.5,1.75,2.25,1.75,2.5,2,2.5,1.75,2,1.5,1.95,2.75,2.75,3,2.25,1.75,1.5,2.75,2.25,3,2.25,2.75,1.5,1.75,2.25,2.5,3,2.75,2.4,2.75,2,1.5,2.083333333,AA,AA,A,A,A,YES,NO,YES
375,lucena,1.25,1.5,2.5,2.25,2.5,2,1.5,3,2,1.25,1.98,3,2.5,2.25,2,2,2.25,1.5,1.5,2.25,1.75,2.5,2,1.5,2,1.75,3,2.25,2.05,2.25,2,1.5,1.916666667,A,AA,A,A,C,YES,NO,YES
376,atimonan,1.75,1.75,2.25,2,1.75,1.5,1.25,2,1.5,1.25,1.7,3,2.5,2,1.5,1.75,2,2,1.25,2.5,1.5,1.75,1.75,1.75,2,2.75,2.75,2.5,2.05,2,1.5,1.5,1.666666667,A,AA,A,A,A,YES,NO,YES
377,sariaya,2.25,3,3,3,2.5,3,2.75,3,2,2,2.65,3,2.5,2.5,2.25,2.5,2.5,2,2,2.5,2.75,3,2.75,2.25,2.5,2.75,3,3,2.65,2.5,2,2,2.166666667,AA,AA,A,AA,B,YES,NO,YES
378,tayabas,3,2.5,2.75,2.5,3,3,1.75,1.75,2.5,2.5,2.53,3,3,3,2.5,2.25,3,2,2.5,3,3,3,3,2,2.5,3,3,2.5,2.75,2.25,3,3,2.75,A,A,A,A,A,YES,NO,NO
379,general santos,3,2.5,2.75,2,2.75,2.5,2.25,3,1.75,2.25,2.48,2.75,2.75,1.75,2,3,2.25,2.75,2,2.5,3,2.5,2.25,2,2.25,3,3,3,2.55,2.25,2.5,2,2.25,A,AA,A,A,A,NO,NO,YES
380,tayabas,2.75,3,2.5,3,2.5,2.25,1.25,2.75,2,1.75,2.38,2.75,2.5,1.5,1.75,2.25,2.25,2.75,2.25,2.5,2,2,2.25,2.25,1.5,2.25,3,2,2.2,2,1.75,2.25,2,A,AA,AA,A,B,NO,NO,YES
381,tayabas,2.5,3,3,3,3,2.5,2.75,3,2.75,1.75,2.73,3,3,3,3,2,2.75,1.75,2.5,3,2.5,3,3,2.25,2.25,2.75,2,3,2.625,3,3,2.75,2.916666667,A,A,A,A,A,YES,NO,NO
382,lucena,1.5,1.75,1.75,1.75,2,2,1.75,2.25,1.5,1.5,1.78,2.5,2.25,1.75,1.75,2,2.5,1.75,1.25,2,2,2.5,1.25,1.5,2,2.5,2.75,2,1.975,1.75,1.25,1.5,1.5,A,AA,A,AA,B,NO,NO,YES
383,sariaya,3,2.25,2.75,3,3,3,3,3,2,1.5,2.65,3,3,3,3,3,2.75,2.5,2.25,3,2.75,3,2.5,2,3,2.75,3,3,2.725,3,3,2.25,2.75,A,A,A,AA,A,YES,NO,NO
384,lucena,3,3,3,3,3,3,2.25,2.5,2,1.75,2.65,3,3,2.5,2.25,2.25,2.75,2.25,2,3,2,2.75,2.25,1.75,2.5,3,3,2.5,2.475,2.75,2,2,2.25,A,AA,A,A,C,YES,NO,NO
385,luisiana,2,2.25,3,3,3,2.75,2.75,3,2,1.75,2.55,2.75,2.75,3,2,2.25,2.75,2,2.5,3,3,3,3,2.5,3,2.75,2.75,3,2.85,2.25,3,2,2.416666667,A,A,A,AA,B,YES,NO,NO
386,lucena,3,3,3,3,2,3,2,2.75,2.25,3,2.7,2.75,3,3,2.25,3,2.25,2.7,3,3,3,3,3,2.5,3,3,3,2.5,2.9,2.75,3,2.5,2.75,AA,A,A,AA,A,YES,NO,NO
387,lucena,2.5,2.75,3,2.5,3,3,2.75,3,2.25,1.75,2.65,2.25,2.25,2.75,2.75,2.25,3,2.25,3,3,3,3,3,2.5,2.75,3,3,3,2.925,3,2.25,2.25,2.5,A,A,A,A,A,NO,NO,NO
388,lucban,3,3,3,3,3,3,2.5,3,2.25,1.75,2.75,3,1.75,3,3,1.75,2.75,2,2.25,3,2.05,3,3,2.25,2.5,3,3,2.5,2.655,3,3,2,2.666666667,AA,A,A,AA,A,YES,NO,NO
389,lucban,2.5,2,1.5,1.75,2,2,1.75,2,1.25,1.25,1.8,2.5,2,1.25,2,3,2,2.25,1.25,2.25,1,1.25,2,1.25,1.5,2.75,2.5,2.25,1.8,2.25,2.5,1.5,2.083333333,A,AA,A,A,B,YES,NO,YES
390,tiaong,2.75,2.75,2.5,2.25,3,3,3,2,2.75,2.25,2.63,3,3,3,2.25,2,3,1.75,2.25,3,3,3,3,2.25,2.75,2.5,3,2.25,2.7,2.75,2.5,2.75,2.666666667,A,A,A,A,A,NO,NO,NO
391,candelaria,2.25,3,2,1.75,2.5,2.5,2.25,1.75,1.75,2.25,2.2,2.75,2.75,1.75,3,3,3,3,2.75,3,3,3,2.5,2.5,2.5,3,3,2,2.725,2.25,3,1.75,2.333333333,A,A,A,A,A,YES,NO,NO
392,sariaya,2.25,2,1.75,2,2.25,2.25,1.75,2.5,1.5,1.5,1.98,2.5,2.5,2.5,1.75,2.5,2.25,2.25,1.5,2.5,1.5,2,2.75,2.25,1.75,2.25,2.75,2.5,2.175,2.25,2,2,2.083333333,A,AA,AA,AA,B,YES,NO,YES
393,lucena,3,3,3,3,3,3,3,3,2,2.5,2.85,3,3,3,3,2,3,2.25,2.25,3,2.75,3,3,3,3,2.75,3,3,2.875,3,3,1.75,2.583333333,A,A,A,A,A,YES,NO,NO
394,real,2.75,2.75,2.5,2.75,3,3,3,3,2.25,2.5,2.75,3,3,3,3,3,3,3,2.5,2.5,3,3,3,2.25,2.75,3,3,2.75,2.775,3,3,2.75,2.916666667,A,A,A,AA,A,YES,NO,NO
395,tayabas,3,3,2.5,2.75,3,3,3,3,2.5,2.25,2.8,3,2.25,3,3,3,3,2.75,3,3,3,3,3,2.5,3,3,3,3,2.95,2.25,3,2.5,2.583333333,A,A,A,A,B,YES,NO,NO
396,lucena,2.25,3,2.25,3,2.75,2.5,2.75,3,1.75,1.5,2.48,3,2.75,3,2.25,2.25,2.75,2.25,1.75,3,2.5,2.75,3,1.75,2.25,2.5,2.75,2.75,2.5,2.75,2.5,1.5,2.25,A,AA,A,A,A,YES,NO,YES
397,luisiana,3,2.5,2.5,3,3,3,2.75,2.5,2,1.5,2.58,3,3,3,3,3,3,2.5,2.25,3,3,3,2.5,2,3,2.75,3,3,2.75,3,3,2.25,2.75,A,A,A,A,A,YES,NO,NO
398,lucena,1.25,2,1.5,1.5,2.5,2.5,1.75,2.5,1.5,1.25,1.83,3,2.5,1.25,1.75,2.25,2,1.75,1.25,1.75,1.25,1.75,1.25,1.5,1.5,2.25,2,2,1.65,2.25,1.25,1.25,1.583333333,A,AA,AA,A,B,YES,NO,YES
399,san antonio,3,3,3,3,3,3,3,3,2,2.5,2.85,3,3,3,3,2,3,2.25,2.25,3,2.75,3,3,3,3,2.75,3,3,2.875,3,3,1.75,2.583333333,AA,A,A,A,A,YES,NO,NO
400,majayjay,1.75,2,2,1.75,2.25,2,1.75,2,1.75,1.5,1.88,2.5,2.25,2,1.5,2.25,2.25,1.75,1.75,2.25,2,2.75,2,1.75,2,2.25,2.75,2.25,2.175,1.5,1.75,1.5,1.583333333,A,AA,A,A,C,NO,NO,YES
401,tayabas,1.5,1.5,2.25,2,1.75,1.75,1.25,2.5,1.5,1.25,1.73,3,2.5,2.25,1.5,1.75,2.25,2,1.5,2.5,1.5,1.5,1.75,1.75,2,2.75,2.75,2.5,2.05,2,1.5,1.5,1.666666667,AA,AA,A,AA,A,YES,NO,YES
402,luisiana,2.25,2.75,3,3,3,3,3,3,2.25,1.75,2.7,3,3,3,2.5,2.25,3,2.25,2.5,3,3,3,3,2.25,3,3,3,2.75,2.85,3,3,2,2.666666667,A,A,A,A,A,YES,NO,NO
403,lucena,1.75,2.5,2.25,2,3,2,1.5,2.75,1.5,1.25,2.05,2.75,2.5,2.5,2,2,2.75,1.75,1.75,2.25,2.25,3,2.75,1.75,2.25,2.25,2.75,2.5,2.35,2.25,1.5,1.5,1.75,AA,AA,A,A,B,YES,NO,YES
404,luisiana,1.75,2,3,2,2.75,2.25,2,3,2,1.5,2.23,2.75,2.75,2.25,2.25,1.75,2.25,1.75,2.25,2.5,2.25,2.5,2,1.5,2.5,2.25,3,2.75,2.35,2.25,2.25,1.5,2,AA,AA,A,A,A,NO,NO,YES
405,plaridel,2,1.75,2,2.25,3,1.5,1.75,2,1.5,1.25,1.9,2.5,2.5,2.25,1.5,1.75,2.5,1,1.25,2.25,1.5,3,1.75,1.75,2.5,2.25,3,2.25,2.15,1.75,1.5,1.75,1.666666667,A,AA,A,A,C,YES,NO,YES
406,tayabas,1.5,1.5,1.5,1.5,1.5,1.75,1.25,2.25,1.5,1,1.53,2.5,1.75,1.75,1.25,2.5,1.25,1.75,1,2,1,2,1.25,1.5,1.75,2.25,2,1.75,1.65,1.25,1,1.5,1.25,A,AA,AA,A,A,YES,YES,YES
